"Date","Price","Open","High","Low","Vol.","Change %"
"07/24/2016","1,085.15","1,087.70","1,087.80","1,083.90","","-0.22%"
"07/22/2016","1,087.50","1,107.25","1,109.50","1,084.50","","-1.83%"
"07/21/2016","1,107.75","1,087.75","1,110.90","1,080.90","","1.82%"
"07/20/2016","1,088.00","1,096.65","1,100.65","1,069.60","","-0.81%"
"07/19/2016","1,096.85","1,100.05","1,100.60","1,090.50","","-0.31%"
"07/18/2016","1,100.30","1,097.60","1,104.40","1,082.45","","0.28%"
"07/17/2016","1,097.20","1,097.00","1,098.45","1,095.75","","-0.16%"
"07/15/2016","1,099.00","1,104.95","1,107.40","1,085.50","","-0.56%"
"07/14/2016","1,105.15","1,098.75","1,108.15","1,085.15","","0.57%"
"07/13/2016","1,098.90","1,096.75","1,105.60","1,087.55","","0.26%"
"07/12/2016","1,096.05","1,102.65","1,111.20","1,090.80","","-0.60%"
"07/11/2016","1,102.70","1,105.20","1,109.30","1,093.50","","-0.23%"
"07/10/2016","1,105.25","1,105.40","1,108.40","1,103.25","","0.30%"
"07/08/2016","1,101.95","1,092.90","1,104.60","1,074.55","","0.80%"
"07/07/2016","1,093.25","1,090.60","1,096.45","1,080.15","","0.22%"
"07/06/2016","1,090.80","1,079.65","1,095.35","1,068.30","","1.06%"
"07/05/2016","1,079.40","1,067.70","1,079.80","1,050.50","","1.11%"
"07/04/2016","1,067.60","1,064.90","1,075.45","1,057.65","","0.21%"
"07/03/2016","1,065.35","1,061.95","1,067.20","1,060.50","","0.10%"
"07/01/2016","1,064.30","1,028.50","1,065.75","1,026.30","","3.45%"
"06/30/2016","1,028.85","1,009.05","1,033.35","1,003.15","","1.99%"
"06/29/2016","1,008.80","983.55","1,015.60","982.90","","2.58%"
"06/28/2016","983.40","982.40","986.00","974.20","","0.08%"
"06/27/2016","982.60","989.70","998.35","978.50","","-0.71%"
"06/26/2016","989.65","988.95","994.00","988.50","","0.25%"
"06/24/2016","987.15","972.75","1,000.75","969.20","","1.45%"
"06/23/2016","973.00","979.80","982.60","956.65","","-0.67%"
"06/22/2016","979.55","977.80","988.95","976.40","","0.09%"
"06/21/2016","978.65","987.25","994.45","973.05","","-0.86%"
"06/20/2016","987.10","973.25","990.20","968.15","","1.42%"
"06/19/2016","973.30","966.40","973.30","965.15","","0.24%"
"06/17/2016","970.95","979.30","983.15","963.40","","-0.84%"
"06/16/2016","979.20","977.65","990.70","967.55","","0.16%"
"06/15/2016","977.60","975.20","987.95","972.65","","0.22%"
"06/14/2016","975.45","992.75","994.40","971.65","","-1.74%"
"06/13/2016","992.70","995.65","999.60","984.90","","-0.30%"
"06/12/2016","995.70","994.30","996.10","991.80","","0.21%"
"06/10/2016","993.60","1,001.00","1,003.85","988.55","","-0.75%"
"06/09/2016","1,001.10","1,016.15","1,016.15","995.70","","-1.46%"
"06/08/2016","1,015.95","1,000.90","1,022.40","1,000.90","","1.48%"
"06/07/2016","1,001.10","996.90","1,005.45","984.45","","0.43%"
"06/06/2016","996.85","988.50","998.90","985.35","","0.85%"
"06/05/2016","988.40","986.55","988.80","985.95","","0.04%"
"06/03/2016","988.05","957.40","989.60","956.25","","3.22%"
"06/02/2016","957.20","975.25","978.75","957.10","","-1.80%"
"06/01/2016","974.70","981.15","986.50","968.85","","-0.65%"
"05/31/2016","981.10","974.45","984.20","970.20","","0.70%"
"05/30/2016","974.25","977.40","977.85","967.70","","-0.37%"
"05/29/2016","977.90","980.85","982.30","977.40","","-0.04%"
"05/27/2016","978.30","997.20","1,000.10","976.70","","-1.91%"
"05/26/2016","997.35","995.05","1,011.50","992.40","","0.19%"
"05/25/2016","995.50","1,000.80","1,006.80","991.25","","-0.49%"
"05/24/2016","1,000.45","1,014.95","1,015.80","999.00","","-1.44%"
"05/23/2016","1,015.10","1,024.35","1,028.55","1,007.10","","-0.91%"
"05/22/2016","1,024.40","1,023.05","1,024.70","1,022.05","","0.04%"
"05/20/2016","1,024.00","1,017.95","1,029.90","1,017.45","","0.59%"
"05/19/2016","1,018.00","1,031.90","1,033.20","1,009.65","","-1.39%"
"05/18/2016","1,032.30","1,056.30","1,057.10","1,027.45","","-2.30%"
"05/17/2016","1,056.60","1,054.50","1,063.30","1,043.50","","0.19%"
"05/16/2016","1,054.60","1,053.00","1,065.05","1,051.30","","0.09%"
"05/15/2016","1,053.65","1,054.20","1,054.65","1,052.50","","-0.06%"
"05/13/2016","1,054.25","1,050.80","1,061.75","1,039.90","","0.34%"
"05/12/2016","1,050.65","1,068.65","1,071.70","1,047.30","","-1.71%"
"05/11/2016","1,068.95","1,053.65","1,076.45","1,053.10","","1.43%"
"05/10/2016","1,053.85","1,045.55","1,056.80","1,042.15","","0.76%"
"05/09/2016","1,045.90","1,078.15","1,079.60","1,043.25","","-3.05%"
"05/08/2016","1,078.85","1,078.15","1,080.80","1,076.80","","-0.29%"
"05/06/2016","1,082.00","1,065.75","1,085.65","1,060.40","","1.53%"
"05/05/2016","1,065.70","1,063.20","1,071.50","1,051.45","","0.25%"
"05/04/2016","1,063.05","1,067.75","1,069.10","1,052.10","","-0.44%"
"05/03/2016","1,067.80","1,081.10","1,092.15","1,065.50","","-1.13%"
"05/02/2016","1,080.05","1,078.20","1,087.80","1,073.60","","0.03%"
"05/01/2016","1,079.75","1,078.90","1,081.15","1,076.35","","-0.02%"
"04/29/2016","1,080.00","1,054.45","1,082.85","1,054.45","","2.41%"
"04/28/2016","1,054.60","1,026.25","1,055.40","1,019.60","","2.75%"
"04/27/2016","1,026.35","1,017.55","1,029.80","1,013.25","","0.85%"
"04/26/2016","1,017.70","1,016.90","1,023.25","1,003.45","","0.07%"
"04/25/2016","1,016.95","1,008.30","1,020.40","1,000.95","","0.90%"
"04/24/2016","1,007.85","1,009.10","1,009.10","1,003.70","","-0.38%"
"04/22/2016","1,011.70","1,024.65","1,034.60","1,008.45","","-1.32%"
"04/21/2016","1,025.25","1,019.85","1,046.25","1,016.70","","0.52%"
"04/20/2016","1,019.90","1,013.10","1,031.95","1,008.55","","0.69%"
"04/19/2016","1,012.95","977.25","1,018.25","976.70","","3.66%"
"04/18/2016","977.20","986.65","987.75","971.25","","-0.94%"
"04/17/2016","986.50","987.45","990.00","986.20","","0.03%"
"04/15/2016","986.25","991.10","992.65","983.80","","-0.48%"
"04/14/2016","991.00","998.50","1,000.35","985.90","","-0.77%"
"04/13/2016","998.70","1,000.25","1,004.10","988.55","","-0.20%"
"04/12/2016","1,000.70","989.30","1,004.65","987.65","","1.14%"
"04/11/2016","989.45","969.60","994.55","967.25","","2.05%"
"04/10/2016","969.55","969.25","972.40","969.25","","0.08%"
"04/08/2016","968.75","957.90","969.90","955.35","","1.11%"
"04/07/2016","958.10","948.20","965.55","946.20","","1.02%"
"04/06/2016","948.40","954.30","961.30","942.50","","-0.57%"
"04/05/2016","953.80","940.15","967.10","938.55","","1.45%"
"04/04/2016","940.20","960.65","961.50","938.35","","-2.10%"
