"Date","Price","Open","High","Low","Vol.","Change %"
"01/16/2015","36.95","36.25","37.50","35.95","1.73M","3.36%"
"01/15/2015","35.75","34.65","36.50","34.60","2.77M","6.88%"
"01/14/2015","33.45","34.30","34.30","32.17","1.26M","-0.15%"
"01/13/2015","33.50","35.65","35.70","32.65","1.33M","-4.42%"
"01/12/2015","35.05","33.85","35.90","33.80","1.24M","4.01%"
"01/09/2015","33.70","32.90","34.05","32.70","796.23K","3.85%"
"01/08/2015","32.45","33.75","34.15","32.00","1.31M","-3.42%"
"01/07/2015","33.60","33.85","34.58","33.30","1.54M","-3.45%"
"01/06/2015","34.80","33.75","36.10","33.50","1.90M","3.73%"
"01/05/2015","33.55","32.50","33.60","31.95","1.23M","4.68%"
"01/02/2015","32.05","29.75","32.05","29.60","1.16M","5.43%"
"12/31/2014","30.40","30.35","30.80","29.75","803.84K","0.00%"
"12/30/2014","30.40","30.35","30.95","30.10","1.22M","2.88%"
"12/29/2014","29.55","30.70","30.70","29.30","760.33K","-3.90%"
"12/26/2014","30.75","31.00","31.30","30.15","619.48K","3.02%"
"12/24/2014","29.85","28.85","30.15","28.85","588.49K","3.11%"
"12/23/2014","28.95","29.35","30.35","28.75","1.03M","-1.36%"
"12/22/2014","29.35","31.85","31.90","29.25","1.37M","-8.57%"
"12/19/2014","32.10","32.10","32.58","31.60","3.06M","0.63%"
"12/18/2014","31.90","31.85","32.15","30.98","1.20M","3.24%"
"12/17/2014","30.90","29.30","31.10","29.15","1.46M","6.19%"
"12/16/2014","29.10","30.05","30.50","28.85","1.22M","0.87%"
"12/15/2014","28.85","31.40","32.15","28.75","1.59M","-9.98%"
"12/12/2014","32.05","33.10","33.15","31.82","1.63M","-3.32%"
"12/11/2014","33.15","34.30","35.00","33.05","1.44M","-4.19%"
"12/10/2014","34.60","35.75","36.80","34.27","1.18M","-3.89%"
"12/09/2014","36.00","35.00","37.80","34.85","1.59M","5.26%"
"12/08/2014","34.20","34.00","34.80","32.35","1.44M","3.01%"
"12/05/2014","33.20","33.40","33.79","32.30","899.81K","-2.21%"
"12/04/2014","33.95","34.75","35.70","33.75","884.66K","-2.58%"
"12/03/2014","34.85","33.95","36.05","33.95","1.27M","3.41%"
"12/02/2014","33.70","33.55","34.77","32.90","1.32M","-2.18%"
"12/01/2014","34.45","32.00","34.60","31.95","2.21M","9.89%"
