"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2016","607.88","605.62","611.00","591.40","","0.39%"
"07/05/2016","605.50","613.90","613.90","590.92","","-1.40%"
"07/04/2016","614.08","608.45","617.25","598.58","","0.91%"
"07/03/2016","608.52","603.80","608.92","603.80","","0.37%"
"07/01/2016","606.30","598.33","607.05","592.10","","1.05%"
"06/30/2016","599.98","587.75","600.78","583.27","","2.07%"
"06/29/2016","587.80","573.35","591.30","572.12","","2.47%"
"06/28/2016","573.65","556.60","574.27","554.38","","2.48%"
"06/27/2016","559.75","553.60","553.80","553.60","0.01K","2.00%"
"06/24/2016","548.80","552.40","553.00","550.95","0.00K","-3.05%"
"06/23/2016","566.05","560.58","566.90","556.35","","0.99%"
"06/22/2016","560.52","552.33","563.80","548.35","","1.17%"
"06/21/2016","554.05","543.85","547.30","543.85","0.01K","0.64%"
"06/20/2016","550.55","545.25","546.75","545.20","0.01K","3.36%"
"06/17/2016","532.65","530.55","534.60","530.55","0.03K","-0.86%"
"06/16/2016","537.25","540.20","540.20","540.20","0.00K","0.49%"
"06/15/2016","534.65","539.35","539.35","539.35","0.00K","-0.35%"
"06/14/2016","536.55","540.25","541.95","535.95","0.01K","-1.85%"
"06/13/2016","546.65","546.80","546.80","545.75","0.00K","-0.32%"
"06/10/2016","548.40","555.00","555.00","555.00","0.00K","-2.32%"
"06/09/2016","561.45","556.60","556.60","555.65","0.00K","-0.10%"
"06/08/2016","562.00","568.55","568.75","566.80","0.01K","1.64%"
"06/07/2016","552.95","553.50","553.65","553.50","0.00K","-0.74%"
"06/06/2016","557.05","557.70","558.75","556.30","0.01K","1.42%"
"06/03/2016","549.25","540.50","559.95","540.00","0.02K","2.55%"
"06/02/2016","535.60","542.00","542.00","535.85","0.04K","-2.52%"
"06/01/2016","549.45","551.50","552.20","551.50","0.01K","0.31%"
"05/31/2016","547.75","538.45","549.95","534.80","0.30K","0.70%"
"05/30/2016","543.92","536.80","545.17","532.85","","1.29%"
"05/29/2016","537.00","538.15","538.15","536.00","","-0.48%"
"05/27/2016","539.60","546.40","553.75","534.60","1.47K","-0.70%"
"05/26/2016","543.40","531.20","546.65","530.75","3.75K","2.45%"
"05/25/2016","530.40","532.95","538.95","523.00","7.40K","-1.40%"
"05/24/2016","537.95","550.50","551.55","531.10","8.32K","-2.24%"
"05/23/2016","550.25","562.60","563.30","547.00","7.18K","-2.24%"
"05/20/2016","562.85","565.00","565.00","565.00","0.01K","0.79%"
"05/19/2016","558.45","573.05","577.75","556.65","7.26K","-3.65%"
"05/18/2016","579.60","583.25","586.55","572.85","4.59K","-0.86%"
"05/17/2016","584.60","592.00","596.00","581.80","4.81K","-1.08%"
"05/16/2016","591.00","593.00","598.05","588.05","3.62K","-0.24%"
"05/13/2016","592.40","594.20","601.55","588.40","2.67K","-0.71%"
"05/12/2016","596.65","610.35","613.00","593.80","3.94K","-1.87%"
"05/11/2016","608.05","597.65","612.50","594.30","4.50K","2.68%"
"05/10/2016","592.20","582.40","597.80","578.65","4.31K","1.39%"
"05/09/2016","584.10","603.25","607.20","576.00","6.91K","-3.80%"
"05/06/2016","607.20","601.95","609.00","597.90","4.25K","1.08%"
"05/05/2016","600.70","598.50","609.95","597.00","3.65K","0.71%"
"05/04/2016","596.45","607.75","609.10","593.60","4.88K","-2.04%"
"05/03/2016","608.85","622.75","626.00","600.40","5.10K","-2.55%"
"05/02/2016","624.75","626.80","631.75","617.15","3.29K","-0.46%"
"04/29/2016","627.65","624.75","636.10","622.65","5.03K","0.53%"
"04/28/2016","624.35","611.35","627.60","608.10","4.30K","2.41%"
"04/27/2016","609.65","604.80","616.00","599.50","3.86K","0.85%"
"04/26/2016","604.50","605.45","610.55","593.00","4.19K","-0.18%"
"04/25/2016","605.60","606.00","609.05","595.00","3.33K","-0.10%"
"04/22/2016","606.20","605.35","619.05","602.10","6.16K","-0.63%"
"04/21/2016","610.05","596.45","617.85","591.90","6.91K","2.18%"
"04/20/2016","597.05","584.10","599.40","580.70","5.19K","2.56%"
"04/19/2016","582.15","567.45","586.40","563.95","4.21K","2.49%"
"04/18/2016","568.00","569.65","570.00","561.50","2.85K","-0.04%"
"04/15/2016","568.25","563.75","571.15","559.55","3.03K","1.31%"
"04/14/2016","560.90","545.15","568.00","535.10","5.73K","3.39%"
"04/13/2016","542.50","546.05","551.40","537.65","3.74K","-0.30%"
"04/12/2016","544.15","547.20","555.60","541.25","3.67K","-0.25%"
"04/11/2016","545.50","544.50","553.60","540.55","4.47K","1.27%"
