"Date","Price","Open","High","Low","Vol.","Change %"
"07/11/2017","2,425.50","2,427.30","2,429.30","2,412.80","","-0.08%"
"07/10/2017","2,427.40","2,424.50","2,432.00","2,422.30","","0.09%"
"07/07/2017","2,425.20","2,413.50","2,426.90","2,413.50","","0.64%"
"07/06/2017","2,409.80","2,423.40","2,424.30","2,407.70","","-0.93%"
"07/05/2017","2,432.50","2,430.80","2,434.90","2,422.10","","0.14%"
"07/03/2017","2,429.00","2,431.40","2,439.20","2,428.70","","0.23%"
"06/30/2017","2,423.40","2,429.20","2,432.70","2,421.70","","0.15%"
"06/29/2017","2,419.70","2,442.40","2,442.70","2,405.70","","-0.86%"
"06/28/2017","2,440.70","2,428.70","2,443.00","2,428.00","","0.88%"
"06/27/2017","2,419.40","2,436.30","2,440.20","2,419.40","","-0.81%"
"06/26/2017","2,439.10","2,443.30","2,450.40","2,437.00","","0.03%"
"06/23/2017","2,438.30","2,434.70","2,441.40","2,431.10","","0.16%"
"06/22/2017","2,434.50","2,437.40","2,441.60","2,433.30","","-0.05%"
"06/21/2017","2,435.60","2,439.30","2,442.20","2,430.70","","-0.06%"
"06/20/2017","2,437.00","2,450.70","2,450.70","2,436.60","","-0.67%"
"06/19/2017","2,453.50","2,442.60","2,453.80","2,441.80","","0.83%"
"06/16/2017","2,433.20","2,431.20","2,433.20","2,422.90","","0.03%"
"06/15/2017","2,432.50","2,424.10","2,433.90","2,418.50","","-0.22%"
"06/14/2017","2,437.90","2,443.80","2,443.80","2,428.30","","-0.10%"
"06/13/2017","2,440.30","2,434.20","2,441.50","2,431.30","","0.45%"
"06/12/2017","2,429.40","2,425.90","2,430.40","2,420.00","","-0.10%"
"06/09/2017","2,431.80","2,436.40","2,446.20","2,415.70","","-0.08%"
"06/08/2017","2,433.80","2,434.30","2,439.30","2,427.90","","0.03%"
"06/07/2017","2,433.10","2,432.00","2,435.30","2,424.80","","0.16%"
"06/06/2017","2,429.30","2,431.90","2,436.20","2,428.10","","-0.28%"
"06/05/2017","2,436.10","2,437.80","2,439.60","2,434.30","","-0.12%"
"06/02/2017","2,439.10","2,431.30","2,440.20","2,427.70","","0.37%"
"06/01/2017","2,430.10","2,415.70","2,430.10","2,413.50","","0.76%"
"05/31/2017","2,411.80","2,415.60","2,416.00","2,403.60","","-0.05%"
"05/30/2017","2,412.90","2,411.70","2,415.30","2,409.40","","-0.12%"
"05/26/2017","2,415.80","2,414.50","2,416.70","2,412.20","","0.03%"
